"Move","Name","Buttons","Position","Prepare Animation","After Animation","AI Range","AI Delay","AI Condition","Range","Cooldown","Resource Cost","Power","Push Impact","Pull Impact","Up Impact","Down Impact","Critical Chance Bonus","Element","Status","Enemy Status","Special Effect","Property"
"C1.1",,,,,,,,,,,,,,,,,,,,,,
"C1.2",,,,,,,,,,,,,,,,,,,,,,
"C1.3",,,,,,,,,,,,,,,,,,,,,,
"C1.4",,,,,,,,,,,,,,,,,,,,,,
"C1.5",,,,,,,,,,,,,,,,,,,,,,
"C2.1",,,,,,,,,,,,,,,,,,,,,,
"C2.2",,,,,,,,,,,,,,,,,,,,,,
"C2.3",,,,,,,,,,,,,,,,,,,,,,
"C2.4",,,,,,,,,,,,,,,,,,,,,,
"C2.5",,,,,,,,,,,,,,,,,,,,,,
"C3.1",,,,,,,,,,,,,,,,,,,,,,
"C3.2",,,,,,,,,,,,,,,,,,,,,,
"C3.3",,,,,,,,,,,,,,,,,,,,,,
"C3.4",,,,,,,,,,,,,,,,,,,,,,
"C3.5",,,,,,,,,,,,,,,,,,,,,,
"C4.1",,,,,,,,,,,,,,,,,,,,,,
"C4.2",,,,,,,,,,,,,,,,,,,,,,
"C4.3",,,,,,,,,,,,,,,,,,,,,,
"C4.4",,,,,,,,,,,,,,,,,,,,,,
"C4.5",,,,,,,,,,,,,,,,,,,,,,
"C5.1",,,,,,,,,,,,,,,,,,,,,,
"C5.2",,,,,,,,,,,,,,,,,,,,,,
"C5.3",,,,,,,,,,,,,,,,,,,,,,
"C5.4",,,,,,,,,,,,,,,,,,,,,,
"C5.5",,,,,,,,,,,,,,,,,,,,,,
"C6.1",,,,,,,,,,,,,,,,,,,,,,
"C6.2",,,,,,,,,,,,,,,,,,,,,,
"C6.3",,,,,,,,,,,,,,,,,,,,,,
"C6.4",,,,,,,,,,,,,,,,,,,,,,
"C6.5",,,,,,,,,,,,,,,,,,,,,,
"A1.1",,,,,,,,,,,,,,,,,,,,,,
"A1.2",,,,,,,,,,,,,,,,,,,,,,
"A1.3",,,,,,,,,,,,,,,,,,,,,,
"A1.4",,,,,,,,,,,,,,,,,,,,,,
"A1.5",,,,,,,,,,,,,,,,,,,,,,
"A2.1",,,,,,,,,,,,,,,,,,,,,,
"A2.2",,,,,,,,,,,,,,,,,,,,,,
"A2.3",,,,,,,,,,,,,,,,,,,,,,
"A2.4",,,,,,,,,,,,,,,,,,,,,,
"A2.5",,,,,,,,,,,,,,,,,,,,,,
"A3.1",,,,,,,,,,,,,,,,,,,,,,
"A3.2",,,,,,,,,,,,,,,,,,,,,,
"A3.3",,,,,,,,,,,,,,,,,,,,,,
"A3.4",,,,,,,,,,,,,,,,,,,,,,
"A3.5",,,,,,,,,,,,,,,,,,,,,,
"A4.1",,,,,,,,,,,,,,,,,,,,,,
"A4.2",,,,,,,,,,,,,,,,,,,,,,
"A4.3",,,,,,,,,,,,,,,,,,,,,,
"A4.4",,,,,,,,,,,,,,,,,,,,,,
"A4.5",,,,,,,,,,,,,,,,,,,,,,
"A5.1",,,,,,,,,,,,,,,,,,,,,,
"A5.2",,,,,,,,,,,,,,,,,,,,,,
"A5.3",,,,,,,,,,,,,,,,,,,,,,
"A5.4",,,,,,,,,,,,,,,,,,,,,,
"A5.5",,,,,,,,,,,,,,,,,,,,,,
"B1.1",,,,,,,,,,,,,,,,,,,,,,
"B1.2",,,,,,,,,,,,,,,,,,,,,,
"B1.3",,,,,,,,,,,,,,,,,,,,,,
"B1.4",,,,,,,,,,,,,,,,,,,,,,
"B1.5",,,,,,,,,,,,,,,,,,,,,,
"B2.1",,,,,,,,,,,,,,,,,,,,,,
"B2.2",,,,,,,,,,,,,,,,,,,,,,
"B2.3",,,,,,,,,,,,,,,,,,,,,,
"B2.4",,,,,,,,,,,,,,,,,,,,,,
"B2.5",,,,,,,,,,,,,,,,,,,,,,
"B3.1",,,,,,,,,,,,,,,,,,,,,,
"B3.2",,,,,,,,,,,,,,,,,,,,,,
"B3.3",,,,,,,,,,,,,,,,,,,,,,
"B3.4",,,,,,,,,,,,,,,,,,,,,,
"B3.5",,,,,,,,,,,,,,,,,,,,,,
"B4.1",,,,,,,,,,,,,,,,,,,,,,
"B4.2",,,,,,,,,,,,,,,,,,,,,,
"B4.3",,,,,,,,,,,,,,,,,,,,,,
"B4.4",,,,,,,,,,,,,,,,,,,,,,
"B4.5",,,,,,,,,,,,,,,,,,,,,,
"B5.1",,,,,,,,,,,,,,,,,,,,,,
"B5.2",,,,,,,,,,,,,,,,,,,,,,
"B5.3",,,,,,,,,,,,,,,,,,,,,,
"B5.4",,,,,,,,,,,,,,,,,,,,,,
"B5.5",,,,,,,,,,,,,,,,,,,,,,
